id,route,toll,median,female,age3050,distance,householdsize,high_income,med_income,occupanc,trans
1006582,0,2.9,-2.726185,0,0,17.78,2,0,0,2,0
1007744,0,3,-4.703961,0,0,61.35,6,0,1,1,0
1007790,0,1.95,-1.096086,0,0,60.96,2,1,0,1,0
1008520,0,1.65,-0.6912208,0,1,29.97,4,0,0,1,0
1008770,0,3.25,-4.247431,0,1,47.49,5,0,0,1,0
1008986,0,1.5,-2.090106,1,0,50.83,2,0,0,3,0
1009472,0,2.9,-2.366609,0,1,45.08,2,0,1,1,1
1009755,0,1.65,-0.8187543,0,0,32.91,3,0,1,1,0
1009883,0,1.625,-5.52667,1,0,20.91,2,0,0,3,0
1010825,1,2.9,-3.232346,1,1,40.61,2,0,1,1,1
1011033,1,3.25,-5.435291,1,1,33.33,6,0,1,2,1
1011071,0,3,-3.955039,0,1,15.85,3,1,0,1,1
1011651,0,2.9,-3.379519,1,0,39.06,2,0,0,1,0
1011954,0,1.95,-1.052366,0,0,54.44,2,0,1,2,0
1012676,0,3.25,-3.918396,1,1,20.11,5,1,0,1,0
1012905,0,1.65,-0.476356,0,1,29.67,5,0,1,1,1
1013082,0,3.25,-4.247431,0,0,29.08,2,1,0,1,1
1015603,0,1.95,-0.9485112,0,0,43.61,3,0,0,1,1
1015735,1,1.65,-1.795859,1,0,33.18,3,1,0,2,1
1017510,0,2.9,-3.349684,0,1,37.45,4,0,1,2,1
1017912,0,2.9,-2.566366,1,1,35.31,6,0,1,2,0
1018102,0,2.9,-2.098866,0,0,43.03,3,0,0,1,0
1019293,0,2.9,-3.157621,0,0,33.18,2,0,0,1,0
1019727,0,1.65,-0.3770913,0,1,61.66,5,1,0,1,0
1019813,1,1.95,-1.110781,0,1,44.83,2,0,0,1,1
1021845,0,3,-3.842873,0,0,35.59,10,0,0,1,0
1022012,0,1.95,-1.279908,1,1,34.64,3,0,0,2,0
1024409,0,2.9,-2.280329,0,1,56.84,5,0,0,1,0
1024918,0,3.25,-5.519444,0,0,53.38,2,1,0,1,1
1026994,0,3,-4.476566,1,1,47.04,3,0,1,1,1
1027309,0,2.9,-3.157621,0,1,16.51,2,0,0,2,0
1027318,0,2.9,-2.127987,0,0,33.05,3,0,0,1,0
1030316,0,3,-4.400308,0,0,56.91,2,0,0,1,0
2000293,0,3.25,-4.762114,0,0,21.78,2,0,1,1,1
2000658,0,2.9,-2.390442,0,0,56.74,2,0,0,1,0
2001314,0,2.9,-2.249893,0,1,39.7,3,1,0,2,1
2001317,0,2.9,-3.715658,0,0,55.76,3,0,1,1,1
2001661,0,3,-4.703961,0,0,14.17,7,0,1,1,0
2001913,0,3,-4.388168,0,0,22.43,2,1,0,1,1
2001947,0,3.25,-5.615552,1,0,19.33,3,0,1,1,0
2001974,0,3,-2.486067,0,1,26.96,2,0,1,1,0
2002051,0,3,-3.827014,0,0,27.78,2,1,0,2,0
2002196,1,1.5,-4.01126,0,1,32.03,3,0,0,3,1
2002346,0,1.95,-1.074014,0,0,63.9,4,0,0,1,0
